SaleID,CustomerID,ProductID,StoreID,SaleDate,Quantity,UnitPrice,Discount,OrderStatus,PaymentMethod
S0013759,C00091,P0009,ST015,4/15/2026,1,1165,1,completed,Mobile Money
S0013203,C00140,P0048,ST015,4/27/2025,2,212,0.2,Returned,Mobile Money
S0019985,C00911,P0197,ST001,4/21/2025,1,505,0.2,completed,Bank Transfer
S0011062,C00673,P0168,ST005,7/19/2025,8,653,0.05,Cancelled,Card
S0011449,C00159,P0159,ST008,3/5/2026,6,1399,0.15,Completed,Bank Transfer
S0010108,C00479,P0181,ST007,6/17/2025,7,368,0.1,Cancelled,Cash
S0012580,C00697,P0120,ST007,4/21/2025,5,1083,0.1,Completed,Cash
S0016710,C00624,P0154,ST015,8/21/2025,6,1028,0.05,completed,Mobile Money
S0019534,C00699,P0179,ST007,2/27/2025,3,1452,0.05,Returned,Bank Transfer
S0010043,C00682,P0061,ST007,3/29/2025,8,423,0.05,completed,Bank Transfer
S0012365,C00330,P0057,ST014,3/7/2025,9,326,0,Cancelled,Card
S0013255,C00707,P0101,ST002,1/10/2025,5,715,0.1,Returned,Cash
S0014808,C00352,P0182,ST006,4/25/2025,2,462,0,completed,Card
S0019426,C00015,P0011,ST004,2/12/2025,4,980,0.05,Returned,Card
S0019753,C00207,P0146,ST005,11/21/2025,6,42,0,Cancelled,Bank Transfer
S0010601,C00540,P0192,ST006,5/10/2026,4,1131,0.15,Cancelled,Mobile Money
S0011576,C00285,P0093,ST020,12/3/2025,3,1371,0,Pending,Bank Transfer
S0016767,C00163,P0142,ST010,6/29/2025,6,1317,0.2,completed,Mobile Money
S0011522,C00596,P0114,ST006,5/9/2026,3,608,0.1,Pending,Cash
S0012603,C00081,P0080,ST009,6/18/2025,6,999,0.1,Pending,Mobile Money
S0015997,C00718,P0164,ST011,1/10/2025,3,1387,0,Completed,Cash
S0016225,C00596,P0085,ST007,7/17/2025,10,1070,0.05,Pending,Card
S0017661,C00309,P0120,ST020,6/25/2025,4,355,0.05,Completed,Mobile Money
S0018802,C00402,P0197,ST012,8/26/2025,2,841,0,completed,Card
S0015769,C00766,P0001,ST011,11/23/2025,8,912,0.1,completed,Card
S0016605,C00179,P0053,ST017,4/21/2026,4,1455,0.1,Pending,Bank Transfer
S0017811,C00734,P0058,ST017,7/29/2025,4,530,0.05,Pending,Bank Transfer
S0019468,C00067,P0145,ST016,3/16/2025,6,1404,0.1,completed,Cash
S0011387,C00450,P0193,ST005,8/13/2025,5,1421,0.05,Cancelled,Card
S0011698,C00497,P0102,ST005,6/11/2025,10,1302,0.05,Completed,Card
S0012888,C00853,P0109,ST009,4/15/2025,10,14,0.15,Returned,Mobile Money
S0011798,C00609,P0120,ST010,1/18/2026,5,728,0.1,Pending,Bank Transfer
S0012483,C00704,P0061,ST003,2/24/2025,8,1370,0,Pending,Mobile Money
S0012628,C00866,P0149,ST001,3/7/2025,5,935,0,completed,Cash
S0014491,C00536,P0099,ST014,3/7/2026,10,746,0.1,Cancelled,Card
S0010490,C00903,P0101,ST005,7/20/2026,10,553,0.1,Returned,Mobile Money
S0019728,C00607,P0054,ST009,5/1/2026,9,1061,0,Completed,Card
S0014395,C00873,P0024,ST003,3/19/2025,9,469,0.1,Returned,Bank Transfer
S0015276,C00246,P0159,ST003,2/11/2026,9,89,0.15,Completed,Mobile Money
S0012277,C00650,P0096,ST001,10/20/2025,2,1153,0.1,Completed,Cash
S0017556,C00891,P0177,ST020,2/20/2026,10,1188,0.05,Cancelled,Cash
S0018244,C00719,P0177,ST012,4/21/2026,1,871,0.1,Cancelled,Card
S0011295,C00497,P0177,ST013,1/14/2025,10,1447,0.15,Pending,Card
S0013121,C00058,P0177,ST008,3/5/2026,4,15,0,Pending,Mobile Money
S0014103,C00411,P0177,ST002,10/22/2025,7,1267,0,completed,Card
S0013823,C00694,P0177,ST016,12/17/2025,6,209,0,Pending,Cash
S0013172,C00246,P0177,ST001,9/22/2025,7,250,0,Cancelled,Mobile Money
S0017962,C00523,P0177,ST018,3/8/2025,7,311,0.1,completed,Card
S0017403,C00035,P0177,ST012,6/24/2026,5,371,0.05,Returned,Bank Transfer
S0011898,C00709,P0177,ST011,6/27/2025,6,1102,0.2,Cancelled,Card
S0015969,C00616,P0177,ST017,10/10/2025,8,1168,0.2,Returned,Cash
S0015868,C00060,P0177,ST005,12/5/2025,2,234,0.05,Cancelled,Mobile Money
S0010295,C00812,P0177,ST010,7/31/2026,6,530,0.2,Returned,Card
S0016678,C00696,P0177,ST004,7/20/2026,10,246,0.2,Returned,Mobile Money
S0011900,C00540,P0177,ST014,9/25/2025,5,790,0.2,Completed,Bank Transfer
S0013724,C00742,P0177,ST005,12/24/2025,3,804,0.05,completed,Mobile Money
S0019192,C00184,P0177,ST001,3/21/2025,2,160,0.05,Completed,Card
S0015562,C00680,P0177,ST013,11/22/2025,2,302,0,completed,Mobile Money
S0014553,C00861,P0177,ST006,11/19/2025,10,1005,0.15,completed,Cash
S0012528,C00859,P0177,ST007,6/9/2026,3,249,0,completed,Bank Transfer
S0011364,C00680,P0177,ST016,1/24/2026,5,429,0.1,Completed,Bank Transfer
S0012226,C00513,P0177,ST005,4/7/2026,10,969,0.15,Pending,Bank Transfer
S0013141,C00383,P0177,ST002,3/31/2026,3,1232,0.15,Pending,Bank Transfer
S0016476,C00732,P0177,ST004,2/20/2025,1,678,0.1,Completed,Mobile Money
S0016075,C00086,P0177,ST010,6/4/2025,6,49,0.05,Cancelled,Mobile Money
S0013549,C00154,P0177,ST011,5/30/2025,1,418,0.2,completed,Cash
S0013110,C00584,P0177,ST011,7/23/2025,6,259,0.05,Completed,Bank Transfer
S0018335,C00187,P0154,ST019,9/16/2025,4,215,0,Cancelled,Mobile Money
S0015881,C00818,P0177,ST011,7/1/2026,4,723,0.1,Completed,Card
S0019193,C00703,P0177,ST008,4/21/2025,1,118,0.1,Cancelled,Mobile Money
S0016262,C00675,P0177,ST001,7/17/2025,5,790,0.05,Cancelled,Mobile Money
S0012491,C00658,P0177,ST001,6/12/2026,5,1463,0.05,Pending,Mobile Money
S0015794,C00220,P0177,ST012,11/20/2025,9,800,0.05,completed,Mobile Money
S0013729,C00808,P0177,ST009,6/23/2025,10,581,0,completed,Mobile Money
S0020035,C00197,P0177,ST018,1/21/2026,5,487,0.2,Cancelled,Card
S0015413,C00729,P0177,ST009,6/12/2026,10,240,0.2,completed,Cash
S0019143,C00676,P0177,ST001,3/3/2025,4,438,0,Pending,Card
S0010825,C00001,P0154,ST015,1/17/2025,2,1193,0.2,Cancelled,Card
S0010275,C00110,P0177,ST018,6/26/2025,2,591,0.05,Pending,Cash
S0013603,C00486,P0177,ST007,5/14/2025,2,231,0.2,completed,Mobile Money
S0013768,C00973,P0177,ST008,10/31/2025,7,163,0.05,Pending,Bank Transfer
S0012038,C00771,P0177,ST005,6/23/2026,3,1170,0.1,Cancelled,Card
S0015751,C00303,P0177,ST005,6/16/2026,3,184,0.15,Pending,Mobile Money
S0016410,C00326,P0177,ST014,1/29/2026,3,1187,0.1,Pending,Bank Transfer
S0011462,C00681,P0177,ST016,5/12/2026,8,869,0.15,Cancelled,Bank Transfer
S0015064,C00279,P0177,ST012,1/29/2026,7,1400,0.2,completed,Bank Transfer
S0016567,C00853,P0177,ST009,8/15/2025,3,997,0,Returned,Mobile Money
S0017414,C00132,P0177,ST009,6/30/2026,4,578,0.1,completed,Mobile Money
S0012653,C00535,P0177,ST019,3/1/2025,9,1187,0,Cancelled,Cash
S0019477,C00389,P0177,ST006,11/20/2025,5,634,0.1,Cancelled,Mobile Money
